Liberal,Conservative,sentiment,Green,Libertarian,twitter_engagement,date,time
0.2041684389,0.2004206032,0.7619928718,0.3799475133,0.2154634446,0.6886448525,03-12-2015,01:06:03
0.1975163966,0.1880350113,0.9559285641,0.4228070378,0.1916415393,0.7353031633,03-12-2015,01:04:42
0.1897564679,0.1993189901,0.907803297,0.3971709609,0.2137536854,0.6125942652,03-12-2015,01:03:38
0.0866729543,0.3156865239,0.1893482655,0.0747899488,0.5228505731,0.6291997601,03-12-2015,00:58:19
0.1912374943,0.1722224355,0.932128489,0.3944120407,0.2421279848,0.7127916021,03-12-2015,00:56:44
0.1964042336,0.1892063767,0.9141642451,0.2805943489,0.333795011,0.6759623965,03-11-2015,22:07:05
0.2092027515,0.1811304241,0.9749253392,0.3218416274,0.2878251374,0.6108283825,03-11-2015,20:29:52
0.2069910318,0.1886923462,0.9089613557,0.3674683273,0.2368483394,0.4813086075,03-11-2015,20:23:42
0.1908508241,0.2201646417,0.7276220918,0.3002658784,0.288718611,0.5716145787,03-11-2015,20:22:45
0.193376407,0.1811753809,0.7556396127,0.3526841104,0.2727640867,0.7679984135,03-11-2015,19:45:43
0.1122460589,0.6100893021,0.989761591,0.0540819503,0.223582685,0.6298646229,03-11-2015,19:21:21
0.126413554,0.6174976826,0.9010187984,0.1425824314,0.1135064065,0.6410182427,03-11-2015,18:56:19
0.2016244829,0.1784618944,0.9140294194,0.4230898023,0.1968238354,0.7798838058,03-11-2015,16:17:27
0.102636382,0.6439296007,0.324552536,0.0834490061,0.169985041,0.5921429852,03-11-2015,16:08:36
0.1356470585,0.3052408397,0.9674423337,0.36320737,0.1959047616,0.7526231925,03-11-2015,16:08:18
0.2676801682,0.385481745,0.0129537378,0.1227070466,0.224131003,0.604275816,03-11-2015,16:07:17
0.2001268417,0.1045086235,0.876129508,0.5183113217,0.1770531982,0.6000042868,03-11-2015,13:37:09
0.1923096776,0.1801560372,0.9024637938,0.4468514323,0.1806828678,0.741604639,03-11-2015,09:34:07
0.158550173,0.2005828917,0.7993376255,0.4015489221,0.239318043,0.6690210007,03-11-2015,09:29:34
0.1984726936,0.2116379142,0.9585565329,0.3617415428,0.2281477749,0.8101059899,03-11-2015,09:29:01
0.0868314207,0.0970058739,0.9704691768,0.7586702704,0.0574924611,0.7416408845,03-11-2015,09:27:20
0.1439693123,0.2014320195,0.6106753349,0.3990437686,0.2555548847,0.6119588395,03-11-2015,09:22:33
0.182752043,0.2117715627,0.851711154,0.3441370428,0.2613393664,0.6375759478,03-11-2015,09:18:18
0.1408298314,0.4378573596,0.222186923,0.1472761035,0.2740367055,0.6609017893,03-11-2015,09:14:35
0.2043834329,0.2131033838,0.5859208107,0.3697749972,0.2127382308,0.6998610166,03-11-2015,09:13:47
0.1811662465,0.2142003328,0.6585093141,0.3774931729,0.2271403074,0.6919490993,03-11-2015,09:09:14
0.210486412,0.2196252197,0.3302259445,0.2843476236,0.2855407894,0.6641718765,03-11-2015,08:52:07
0.1322547793,0.1405533105,0.7672527432,0.4053970277,0.3217949569,0.4749511769,03-11-2015,08:48:58
0.1991579682,0.2961721122,0.930765152,0.2023899257,0.302279979,0.7118743529,03-11-2015,08:17:52
0.223570466,0.1876007468,0.8703585267,0.3123729527,0.2764557898,0.5186144967,03-10-2015,20:27:38
0.1508432925,0.2152457535,0.9681372046,0.3589914739,0.2749195099,0.7391467431,03-10-2015,17:07:20
0.1153867021,0.0673752651,0.9804908633,0.7456535697,0.0715844482,0.5244137119,03-10-2015,16:38:43
0.1414066702,0.1335893869,0.981159091,0.5138180852,0.2111859471,0.6956478582,03-10-2015,15:09:14
0.2348229438,0.1542176604,0.4026014507,0.4558153152,0.1551441401,0.5154194545,03-10-2015,14:52:40
0.143556565,0.2178402841,0.3342007697,0.3287031353,0.309899956,0.6306874103,03-10-2015,14:22:35
0.1924628466,0.3298910558,0.5709667206,0.2575287521,0.22011742,0.5805338139,03-10-2015,14:20:07
0.1096597388,0.101773262,0.9696840048,0.2461078316,0.5424591303,0.5628586352,03-10-2015,14:00:59
0.0699894726,0.0861985162,0.9386605024,0.0631859899,0.780625999,0.5999635393,03-09-2015,21:31:02
0.1927744299,0.1851223856,0.7732693553,0.4328399599,0.1892632544,0.5575743206,03-09-2015,21:18:04
0.2422082573,0.133458674,0.9489349723,0.3736329973,0.2507000864,0.5345464718,03-09-2015,21:16:52
0.1871067286,0.025246555,0.9252868891,0.6323122382,0.1553345472,0.6025396224,03-09-2015,21:06:47
0.1814219952,0.1546804756,0.9694074392,0.542008996,0.1218886152,0.6579946865,03-09-2015,17:34:12
0.2359285951,0.1262372434,0.6286127567,0.3102247715,0.3276094794,0.5929961008,03-09-2015,17:29:50
0.1533955187,0.1709111482,0.738460362,0.2276575863,0.448035717,0.5450626478,03-09-2015,14:36:37
0.1710643321,0.227580741,0.7425734997,0.3338338435,0.267521143,0.4952659249,03-09-2015,14:35:15
0.2011005729,0.157885924,0.9477902055,0.4012763798,0.2397371531,0.6812387449,03-09-2015,13:53:43
0.1644743979,0.1429119408,0.7938153744,0.528757453,0.163856253,0.5732076585,03-09-2015,13:22:39
0.1853265762,0.271713078,0.7244299054,0.390443176,0.1525171548,0.6518676118,03-09-2015,13:21:30
0.2262753844,0.158705458,0.9843233824,0.4378860891,0.1771330833,0.6366847445,03-09-2015,13:19:58
0.1402180642,0.1504142135,0.9473237395,0.4757926166,0.2335751057,0.6535511817,03-09-2015,11:26:00
0.2303338647,0.2703340352,0.6071012616,0.2754434645,0.2238886058,0.6658017751,03-09-2015,11:16:43
0.1999883503,0.2276730835,0.1972439736,0.3314982951,0.240840286,0.5410071606,03-09-2015,10:58:11
0.2000169605,0.2097129077,0.7614848614,0.3737203479,0.2165498286,0.6959200938,03-08-2015,11:48:29
0.1982730329,0.1915925741,0.6580089927,0.3962477744,0.2138866335,0.7068146128,03-08-2015,11:19:50
0.1681116521,0.1707306504,0.9815426469,0.6123122573,0.0488454998,0.6770747385,03-08-2015,11:12:22
0.2937691212,0.1140964478,0.7861965299,0.4569177628,0.1352167279,0.6841891179,03-06-2015,14:51:33
